GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
221	5/9/15	Sky Blue FC	Seattle Reign FC	1	1	Regular Season
222	5/9/15	Portland Thorns FC	Washington Spirit	2	2	Regular Season
223	5/14/15	FC Kansas City	Western New York Flash	0	0	Regular Season
224	5/15/15	Houston Dash	Chicago Red Stars	2	2	Regular Season
225	5/16/15	Boston Breakers	Portland Thorns FC	1	0	Regular Season
226	5/16/15	Washington Spirit	Sky Blue FC	1	0	Regular Season
227	5/22/15	Boston Breakers	Sky Blue FC	1	1	Regular Season
228	5/23/15	Western New York Flash	Washington Spirit	3	2	Regular Season
229	5/23/15	FC Kansas City	Chicago Red Stars	1	2	Regular Season
230	5/23/15	Portland Thorns FC	Houston Dash	0	1	Regular Season
231	5/30/15	Washington Spirit	Portland Thorns FC	2	1	Regular Season
232	5/30/15	Boston Breakers	FC Kansas City	1	0	Regular Season
233	5/30/15	Seattle Reign FC	Chicago Red Stars	0	0	Regular Season
234	5/31/15	Sky Blue FC	Houston Dash	1	1	Regular Season
235	6/6/15	Washington Spirit	Boston Breakers	1	1	Regular Season
236	6/6/15	Western New York Flash	Chicago Red Stars	3	1	Regular Season
237	6/6/15	Houston Dash	Portland Thorns FC	0	0	Regular Season
238	6/6/15	Seattle Reign FC	Sky Blue FC	3	0	Regular Season
239	6/19/15	Portland Thorns FC	FC Kansas City	1	1	Regular Season
240	6/20/15	Houston Dash	Western New York Flash	2	0	Regular Season
241	6/21/15	Boston Breakers	Seattle Reign FC	2	3	Regular Season
242	6/27/15	Washington Spirit	Houston Dash	1	0	Regular Season
243	6/27/15	Seattle Reign FC	FC Kansas City	2	1	Regular Season
244	6/28/15	Boston Breakers	Western New York Flash	0	2	Regular Season
245	6/28/15	Sky Blue FC	Chicago Red Stars	0	3	Regular Season
246	7/3/15	Western New York Flash	Seattle Reign FC	1	1	Regular Season
247	7/3/15	FC Kansas City	Washington Spirit	3	0	Regular Season
248	7/3/15	Portland Thorns FC	Sky Blue FC	2	1	Regular Season
249	7/8/15	Boston Breakers	FC Kansas City	2	3	Regular Season
250	7/11/15	Sky Blue FC	Portland Thorns FC	1	0	Regular Season
251	7/11/15	Seattle Reign FC	Western New York Flash	4	2	Regular Season
252	7/12/15	Houston Dash	Chicago Red Stars	1	2	Regular Season
253	7/18/15	Washington Spirit	Seattle Reign FC	3	0	Regular Season
254	7/18/15	Chicago Red Stars	Boston Breakers	1	1	Regular Season
255	7/19/15	Western New York Flash	Sky Blue FC	3	3	Regular Season
256	7/20/15	FC Kansas City	Houston Dash	1	1	Regular Season
257	7/22/15	Boston Breakers	Chicago Red Stars	1	2	Regular Season
258	7/22/15	Portland Thorns FC	Seattle Reign FC	0	1	Regular Season
259	7/25/15	Washington Spirit	Chicago Red Stars	1	1	Regular Season
260	7/25/15	Western New York Flash	Houston Dash	0	1	Regular Season
261	7/25/15	Sky Blue FC	Boston Breakers	3	1	Regular Season
262	7/26/15	Seattle Reign FC	Portland Thorns FC	3	0	Regular Season
263	7/29/15	Western New York Flash	Portland Thorns FC	0	2	Regular Season
264	7/29/15	Houston Dash	FC Kansas City	3	2	Regular Season
265	8/1/15	Boston Breakers	Seattle Reign FC	1	2	Regular Season
266	8/1/15	Washington Spirit	Houston Dash	3	1	Regular Season
267	8/1/15	Sky Blue FC	Western New York Flash	1	2	Regular Season
268	8/1/15	Chicago Red Stars	FC Kansas City	2	2	Regular Season
269	8/5/15	Portland Thorns FC	Boston Breakers	5	2	Regular Season
270	8/7/15	Houston Dash	Sky Blue FC	0	2	Regular Season
271	8/8/15	Boston Breakers	Washington Spirit	2	1	Regular Season
272	8/8/15	FC Kansas City	Western New York Flash	4	0	Regular Season
273	8/9/15	Portland Thorns FC	Chicago Red Stars	2	1	Regular Season
274	8/12/15	Chicago Red Stars	Sky Blue FC	1	1	Regular Season
275	8/12/15	Washington Spirit	Western New York Flash	1	1	Regular Season
276	8/12/15	FC Kansas City	Portland Thorns FC	3	0	Regular Season
277	8/12/15	Seattle Reign FC	Houston Dash	2	1	Regular Season
278	8/16/15	Chicago Red Stars	Washington Spirit	1	2	Regular Season
279	8/21/15	Houston Dash	Seattle Reign FC	0	3	Regular Season
280	8/22/15	Sky Blue FC	Portland Thorns FC	1	0	Regular Season
281	8/22/15	FC Kansas City	Boston Breakers	3	0	Regular Season
282	8/23/15	Chicago Red Stars	Western New York Flash	0	0	Regular Season
283	8/26/15	Seattle Reign FC	Boston Breakers	3	1	Regular Season
284	8/27/15	FC Kansas City	Washington Spirit	0	0	Regular Season
285	8/29/15	Western New York Flash	Chicago Red Stars	0	2	Regular Season
286	8/29/15	Seattle Reign FC	Sky Blue FC	1	1	Regular Season
287	8/30/15	Houston Dash	Boston Breakers	1	0	Regular Season
288	8/30/15	Portland Thorns FC	Washington Spirit	3	3	Regular Season
289	9/2/15	Sky Blue FC	FC Kansas City	2	3	Regular Season
290	9/4/15	Western New York Flash	Portland Thorns FC	3	2	Regular Season
291	9/5/15	Washington Spirit	Seattle Reign FC	1	2	Regular Season
292	9/6/15	Chicago Red Stars	Houston Dash	1	1	Regular Season
293	9/13/15	Chicago Red Stars	FC Kansas City	0	3	Semifinal
294	9/13/15	Seattle Reign FC	Washington Spirit	3	0	Semifinal
295	10/1/15	FC Kansas City	Seattle Reign FC	1	0	Final
296	4/16/16	Washington Spirit	Boston Breakers			Regular Season
297	4/16/16	Houston Dash	Chicago Red Stars			Regular Season
298	4/16/16	FC Kansas City	Western New York Flash			Regular Season
299	4/17/16	Seattle Reign FC	Sky Blue FC			Regular Season
300	4/17/16	Portland Thorns FC	Orlando Pride			Regular Season
301	4/23/16	Chicago Red Stars	Western New York Flash			Regular Season
302	4/23/16	Orlando Pride	Houston Dash			Regular Season
303	4/23/16	FC Kansas City	Portland Thorns FC			Regular Season
304	4/24/16	Sky Blue FC	Washington Spirit			Regular Season
305	4/24/16	Boston Breakers	Seattle Reign FC			Regular Season
306	4/29/16	Western New York Flash	Washington Spirit			Regular Season
307	4/29/16	Houston Dash	Sky Blue FC			Regular Season
308	5/1/16	Boston Breakers	Portland Thorns FC			Regular Season
309	5/1/16	Chicago Red Stars	Orlando Pride			Regular Season
310	5/1/16	Seattle Reign FC	FC Kansas City			Regular Season
311	5/7/16	Boston Breakers	Chicago Red Stars			Regular Season
312	5/7/16	Washington Spirit	Portland Thorns FC			Regular Season
313	5/7/16	Sky Blue FC	Western New York Flash			Regular Season
314	5/7/16	FC Kansas City	Houston Dash			Regular Season
315	5/8/16	Orlando Pride	Seattle Reign FC			Regular Season
316	5/13/16	Sky Blue FC	Boston Breakers			Regular Season
317	5/13/16	FC Kansas City	Chicago Red Stars			Regular Season
318	5/14/16	Washington Spirit	Houston Dash			Regular Season
319	5/14/16	Orlando Pride	Western New York Flash			Regular Season
320	5/14/16	Seattle Reign FC	Portland Thorns FC			Regular Season
321	5/20/16	Houston Dash	Orlando Pride			Regular Season
322	5/21/16	Western New York Flash	Sky Blue FC			Regular Season
323	5/21/16	Portland Thorns FC	Washington Spirit			Regular Season
324	5/22/16	Boston Breakers	FC Kansas City			Regular Season
325	5/22/16	Seattle Reign FC	Chicago Red Stars			Regular Season
326	5/27/16	Western New York Flash	Boston Breakers			Regular Season
327	5/27/16	Houston Dash	Washington Spirit			Regular Season
328	5/28/16	FC Kansas City	Orlando Pride			Regular Season
329	5/29/16	Portland Thorns FC	Seattle Reign FC			Regular Season
330	5/29/16	Chicago Red Stars	Sky Blue FC			Regular Season
331	6/10/16	Boston Breakers	Washington Spirit			Regular Season
332	6/11/16	Western New York Flash	Orlando Pride			Regular Season
333	6/11/16	Sky Blue FC	FC Kansas City			Regular Season
334	6/12/16	Chicago Red Stars	Portland Thorns FC			Regular Season
335	6/12/16	Seattle Reign FC	Houston Dash			Regular Season
336	6/17/16	Western New York Flash	Portland Thorns FC			Regular Season
337	6/18/16	Washington Spirit	Orlando Pride			Regular Season
338	6/18/16	Chicago Red Stars	Boston Breakers			Regular Season
339	6/19/16	Sky Blue FC	Seattle Reign FC			Regular Season
340	6/19/16	Houston Dash	FC Kansas City			Regular Season
341	6/22/16	Portland Thorns FC	Chicago Red Stars			Regular Season
342	6/23/16	Orlando Pride	Houston Dash			Regular Season
343	6/24/16	Western New York Flash	Boston Breakers			Regular Season
344	6/25/16	Washington Spirit	Sky Blue FC			Regular Season
345	6/25/16	FC Kansas City	Seattle Reign FC			Regular Season
346	6/26/16	Orlando Pride	Portland Thorns FC			Regular Season
347	7/1/16	Western New York Flash	Chicago Red Stars			Regular Season
348	7/2/16	Washington Spirit	FC Kansas City			Regular Season
349	7/2/16	Seattle Reign FC	Boston Breakers			Regular Season
350	7/2/16	Portland Thorns FC	Sky Blue FC			Regular Season
351	7/9/16	Washington Spirit	Chicago Red Stars			Regular Season
352	7/9/16	Western New York Flash	Seattle Reign FC			Regular Season
353	7/9/16	Sky Blue FC	Houston Dash			Regular Season
354	7/9/16	Portland Thorns FC	FC Kansas City			Regular Season
355	7/10/16	Orlando Pride	Boston Breakers			Regular Season
356	7/16/16	FC Kansas City	Washington Spirit			Regular Season
357	7/16/16	Orlando Pride	Chicago Red Stars			Regular Season
358	7/16/16	Houston Dash	Portland Thorns FC			Regular Season
359	7/16/16	Seattle Reign FC	Western New York Flash			Regular Season
360	7/17/16	Boston Breakers	Sky Blue FC			Regular Season
361	7/23/16	Western New York Flash	FC Kansas City			Regular Season
362	7/23/16	Sky Blue FC	Washington Spirit			Regular Season
363	7/23/16	Chicago Red Stars	Houston Dash			Regular Season
364	7/23/16	Seattle Reign FC	Orlando Pride			Regular Season
365	7/30/16	Washington Spirit	Sky Blue FC			Regular Season
366	7/30/16	Chicago Red Stars	FC Kansas City			Regular Season
367	7/30/16	Houston Dash	Western New York Flash			Regular Season
368	7/30/16	Portland Thorns FC	Seattle Reign FC			Regular Season
369	7/31/16	Boston Breakers	Orlando Pride			Regular Season
370	8/26/16	Orlando Pride	Washington Spirit			Regular Season
371	8/27/16	Seattle Reign FC	Portland Thorns FC			Regular Season
372	8/27/16	Western New York Flash	Houston Dash			Regular Season
